word_name;sounds_like;display_as
24Symbols;wenn die frau himmels;24Symbols
Abschlussformulierung;abschlussformulierung;Abschlussformulierung
Abschlussfrage;abschlussfrage;Abschlussfrage
Akkuproblemen;akkuproblemen;Akkuproblemen
Angebotsphase;angebotsphase;Angebotsphase
Anrufgrund;anrufgrund;Anrufgrund
Anschlussgebühren;anschlussgebühren;Anschlussgebühren
Audio-Inhalte;audioinhalte;Audio-Inhalte
Audioteka;audioteka;Audioteka
Aufzeichnungsablauf;aufzeichnungsablauf;Aufzeichnungsablauf
Bandaufnahme;bandaufnahme;Bandaufnahme
Bandaufzeichnung;bandaufzeichnung;Bandaufzeichnung
Bauch-Beine-Po-Kurse;bauchbeinepokurse;Bauch-Beine-Po-Kurse
Bedarfswecker;bedarfswecker;Bedarfswecker
Bestandsdaten;bestandsdaten;Bestandsdaten
Bestandskundenpflege;bestandskundenpflege;Bestandskundenpflege
Betreuungsteam;betreuungsteam;Betreuungsteam
Cloudplattform;cloudplattform;Cloudplattform
Daten-Turbo;datenturbo;Daten-Turbo
Daten-Upgrades;datenabgräits,datenupgrades;Daten-Upgrades
Datenabteilung;datenabteilung;Datenabteilung
Datensicherheitstool;datensicherheitstool;Datensicherheitstool
Datenupgrade;datenabgräit,datenupgrade;Datenupgrade
Datenupgradeoption;datenabgräitoption,datenupgradeoption;Datenupgradeoption
Displaybruch;displaybruch;Displaybruch
Displayschaden;displayschaden;Displayschaden
Download-Geschwindigkeit;downloadgeschwindigkeit;Download-Geschwindigkeit
E-Book;ihbook;E-Book
Echtzeitschutz;echtzeitschutz;Echtzeitschutz
Einwandbehandlung;einwandbehandlung;Einwandbehandlung
Entspannungs-App;entspannungsapp;Entspannungs-App
Entspannungsmusik;entspannungsmusik;Entspannungsmusik
Erfolgsergebnisse;erfolgsergebnisse;Erfolgsergebnisse
Ersatz-Simkarte;ersatzsimkarte;Ersatz-Simkarte
Ersatzgerät;ersatzgerät;Ersatzgerät
Festnetzkonditionen;festnetzkonditionen;Festnetzkonditionen
Fitness-App;fitnessapp;Fitness-App
Fitness-Star;fitnessstar;Fitness-Star
Fitnessvideo;fitnessvideo;Fitnessvideo
Freischaltgebühren;freischaltgebühren;Freischaltgebühren
Freundschaftsfrage;freundschaftsfrage;Freundschaftsfrage
Frühjahrs-Aktion;frühjahrsaktion;Frühjahrs-Aktion
FrühjahrsAktion;frühjahrsaktion;FrühjahrsAktion
Frühjahrsaktion;frühjahrsaktion;Frühjahrsaktion
Gameflat;gameflat;Gameflat
Games-Store;gamesstore;Games-Store
Gehirntraining;gehirntraining;Gehirntraining
Genrepaket;genrepaket;Genrepaket
Gerätedefekt;gerätedefekt;Gerätedefekt
Gesamtaufzeichnung;gesamtaufzeichnung;Gesamtaufzeichnung
Gesprächseinstieg;gesprächseinstieg;Gesprächseinstieg
Gesprächsende;gesprächsende;Gesprächsende
Grundtarif;grundtarif;Grundtarif
Gymondo;dschimondo;Gymondo
HD-Qualität;ha de qualität;HD-Qualität
HTML5-Spiele;ha te emm ell fünf spiele;HTML5-Spiele
Handyschutzpaket;handyschutzpaket;Handyschutzpaket
Hotspotflat;hotspotflat;Hotspotflat
Hörbuchflatrate;hörbuchflatrate;Hörbuchflatrate
Hörbuchoption;hörbuchoption;Hörbuchoption
Internetabteilung;internetabteilung;Internetabteilung
Internetflat;internetflat;Internetflat
Internet-Security;internetsecurity;Internet-Security
Kartentausch;kartentausch;Kartentausch
Kontaktlisten;kontaktlisten;Kontaktlisten
Kundenservice-Rufnummer;kundenservicerufnummer;Kundenservice-Rufnummer
Kundenservicehotline;kundenservicehotline;Kundenservicehotline
Kundenservicenummec;kundenservicenummec;Kundenservicenummec
Kundenservicenummer;kundenservicenummer;Kundenservicenummer
Lastschriftmandat;lastschriftmandat;Lastschriftmandat
Leihhandy;leihhandy;Leihhandy
Leseauswahl;leseauswahl;Leseauswahl
Lieblingsmagazine;lieblingsmagazine;Lieblingsmagazine
Lieblingssendung;lieblingssendung;Lieblingssendung
Masterpasswort;masterpasswort;Masterpasswort
Mbit/s;em bits;Mbit/s
Mediendiensten;mediendiensten;Mediendiensten
Mobilcom-Debitel;mobilcomdebitel;Mobilcom-Debitel
Mobilfunk-Rechnung;mobilfunkrechnung;Mobilfunk-Rechnung
Mobilfunkpartner;mobilfunkpartner;Mobilfunkpartner
Musicflat;musicflat;Musicflat
Musikflat;mjusicflat,musikflat;Musikflat
Musikflatrate;musikflatrate;Musikflatrate
Naturgeräusche;naturgeräusche;Naturgeräusche
Naturgeräuschen;naturgeräuschen;Naturgeräuschen
Neuvertrag;neuvertrag;Neuvertrag
Offline-Modus;offlinemodus;Offline-Modus
Online-Bedrohungen;onlinebedrohungen;Online-Bedrohungen
Online-Fitness;onlinefitness;Online-Fitness
Online-Videorekorder;onlinevideorekorder;Online-Videorekorder
Online-Zugriff;onlinezugriff;Online-Zugriff
Onlinebedrohungen;onlinebedrohungen;Onlinebedrohungen
Onlinebücherei;onlinebücherei;Onlinebücherei
Onlinekiosk;onlinekiosk;Onlinekiosk
Onlinerekorder;onlinerekorder;Onlinerekorder
Onlineservice;onlineservice;Onlineservice
Ortstarif;ortstarif;Ortstarif
Partnerkarte;partnerkarte;Partnerkarte
Power-Workouts;powerworkouts;Power-Workouts
Premium-Kunde;premiumkunde;Premium-Kunde
Produktgeber:;produktgeber;Produktgeber:
Produktinformationsblatt;produktinformationsblatt;Produktinformationsblatt
Readly;Riedli;Readly
Registrierungscode;registrierungscode;Registrierungscode
Registrierungslink;registrierungslink;Registrierungslink
Relax-Guru;relaxguru;Relax-Guru
Reparaturgrund;reparaturgrund;Reparaturgrund
Reparaturzeitraum;reparaturzeitraum;Reparaturzeitraum
Rätselhefte;rätselhefte;Rätselhefte
SMS-Flat;ess emm ess flat;SMS-Flat
SMS-Flatrate;ess emm essflatrate;SMS-Flatrate
SPO-DO;spodo;SPO-DO
Science-Fiction;sciencefiction;Science-Fiction
Service-Plus-Kunde;servicepluskunde;Service-Plus-Kunde
Service-Plus-Option;serviceplusoption;Service-Plus-Option
Servicegespräche;servicegespräche;Servicegespräche
Servicehotline;servicehotline;Servicehotline
Serviceoptimierung;serviceoptimierung;Serviceoptimierung
Smartphone-Option;smartphoneoption;Smartphone-Option
Smartphone-Versicherer;smartphoneversicherer;Smartphone-Versicherer
Sommeraktion;sommeraktion;Sommeraktion
Sportwissenschaftler;sportwissenschaftler;Sportwissenschaftler
Sportwissenschaftlern;sportwissenschaftlern;Sportwissenschaftlern
TV-Angebote;te fau angebote;TV-Angebote
TV-Dienste;te fau dienste;TV-Dienste
TV-Sendervielfalt;te fau sendervielfalt;TV-Sendervielfalt
Tarifanalyse;tarifanalyse;Tarifanalyse
Tarifberatung;tarifberatung;Tarifberatung
Technikhotline;technikhotline;Technikhotline
Telefonica-Netz;telefonicanetz;Telefonica-Netz
Telekommunikationsdienste;telekommunikationsdienste;Telekommunikationsdienste
Telekommunikationsdiensten;telekommunikationsdiensten;Telekommunikationsdiensten
Telesales;telesales;Telesales
Treuekarte;treuekarte;Treuekarte
Upload-Geschwindigkeit;uploadgeschwindigkeit;Upload-Geschwindigkeit
VIP-Kunde;Wie Ei Pi Kunde,vipkunde;VIP-Kunde
VIP-Servicenummer;Wie Ei Pi Servicenummer,vipservicenummer;VIP-Servicenummer
Verbindungsart;verbindungsart;Verbindungsart
Verkaufsabschluss;verkaufsabschluss;Verkaufsabschluss
Vertragsbezogener;vertragsbezogener;Vertragsbezogener
Vertragsjahren;vertragsjahren;Vertragsjahren
Vertragsverl�ngerung;vertragsverlyngerung;Vertragsverl�ngerung
W-LAN;welan;W-LAN
Waipu-TV;waipu te fau,waipu ti vi;Waipu-TV
Waipu.TV;waipu punkt te fau;Waipu.TV
Werbeerlaubnis;werbeerlaubnis;Werbeerlaubnis
Werbeunterbrechung;werbeunterbrechung;Werbeunterbrechung
Winteraktion;winteraktion;Winteraktion
You.tv;you te fau,you ti vi;You.tv
You.tv:;you punkt te fau;You.tv:
Zed;zed;Zed
Zeitschriftenflat;zeitschriftenflat;Zeitschriftenflat
Zeitschriftenflatrate;zeitschriftenflatrate;Zeitschriftenflatrate
Zeitvertrieb;zeitvertrieb;Zeitvertrieb
Zufriedenheitsfrage;zufriedenheitsfrage;Zufriedenheitsfrage
breitbandmessung.de;breitbandmessung punkt de eh;breitbandmessung.de
durchrufen;durchrufen;durchrufen
freenet-group.de;frienettgroup punkt de eh;freenet-group.de
freenet;frienett;freenet
frühjahrsaktion;frühjahrsaktion;frühjahrsaktion
frühlingsaktion;frühlingsaktion;frühlingsaktion
herbstaktion;herbstaktion;herbstaktion
kbit/s;k bits;kbit/s
klarmobil.de;klarmobil de eh,klarmobil punkt de eh;klarmobil.de
md.de;emm de de eh,emm de punkt de eh;md.de
mobilcom-debitel;mobilcomdebitel;mobilcom-debitel
s-kon;esskon;s-kon
sommeraktion;sommeraktion;sommeraktion
SMS; ess em ess;SMS
waipu;waipu;waipu
waipu.tv;waipu punkt te fau;waipu.tv
winteraktion;winteraktion;winteraktion
